[2026-06-09T05:40:41.961Z] adventure-eng-ya-fic.csv: genre=Adventure, rows=150, rowLimitHit=yes, fileBookLimit=65, added=65, skippedByFileBookLimit=62, duplicates=79, digitalSkipped=0, missingTitle=0, missingAuthor=9, rejected=0, totalBooks=975
[2026-06-09T05:40:41.968Z] scifi-eng-ya-fic.csv: genre=Science Fiction, rows=150, rowLimitHit=yes, fileBookLimit=65, added=65, skippedByFileBookLimit=73, duplicates=12, digitalSkipped=1, missingTitle=0, missingAuthor=1, rejected=0, totalBooks=1040
[2026-06-09T05:40:41.971Z] horror-eng-ya-fic.csv: genre=Horror, rows=150, rowLimitHit=yes, fileBookLimit=65, added=65, skippedByFileBookLimit=67, duplicates=13, digitalSkipped=0, missingTitle=0, missingAuthor=6, rejected=0, totalBooks=1105
[2026-06-09T05:40:41.974Z] historical-eng-gen-nonfic.csv: genre=Historical Fiction, rows=150, rowLimitHit=yes, fileBookLimit=65, added=65, skippedByFileBookLimit=56, duplicates=0, digitalSkipped=0, missingTitle=0, missingAuthor=29, rejected=0, totalBooks=1170
[2026-06-09T05:40:41.976Z] crime-eng-gen-nonfic.csv: genre=Crime, rows=150, rowLimitHit=yes, fileBookLimit=65, added=65, skippedByFileBookLimit=77, duplicates=0, digitalSkipped=0, missingTitle=0, missingAuthor=8, rejected=0, totalBooks=1235
[2026-06-09T05:40:41.978Z] biography-eng-gen-nonfic.csv: genre=Biography, rows=150, rowLimitHit=yes, fileBookLimit=65, added=65, skippedByFileBookLimit=82, duplicates=2, digitalSkipped=0, missingTitle=0, missingAuthor=1, rejected=0, totalBooks=1300
[2026-06-09T05:40:41.980Z] drama-eng-gen-nonfic.csv: genre=Drama, rows=150, rowLimitHit=yes, fileBookLimit=65, added=65, skippedByFileBookLimit=68, duplicates=1, digitalSkipped=0, missingTitle=0, missingAuthor=17, rejected=0, totalBooks=1365
[2026-06-09T05:40:41.982Z] adventure-eng-ya-nonfic.csv: genre=Nonfiction, rows=150, rowLimitHit=yes, fileBookLimit=65, added=65, skippedByFileBookLimit=82, duplicates=66, digitalSkipped=0, missingTitle=0, missingAuthor=2, rejected=0, totalBooks=1430
[2026-06-09T05:40:41.984Z] mystery-spa-gen-fic.csv: genre=Mystery, rows=150, rowLimitHit=yes, fileBookLimit=65, added=65, skippedByFileBookLimit=83, duplicates=2, digitalSkipped=0, missingTitle=0, missingAuthor=2, rejected=0, totalBooks=1495
[2026-06-09T05:40:41.992Z] fantasy-spa-gen-fic.csv: genre=Fantasy, rows=150, rowLimitHit=yes, fileBookLimit=65, added=65, skippedByFileBookLimit=81, duplicates=9, digitalSkipped=0, missingTitle=0, missingAuthor=4, rejected=0, totalBooks=1560
[2026-06-09T05:40:41.994Z] romance-spa-gen-fic.csv: genre=Romance, rows=150, rowLimitHit=yes, fileBookLimit=65, added=65, skippedByFileBookLimit=73, duplicates=11, digitalSkipped=0, missingTitle=0, missingAuthor=1, rejected=0, totalBooks=1625
[2026-06-09T05:40:41.995Z] adventure-spa-gen-fic.csv: genre=Adventure, rows=133, rowLimitHit=no, fileBookLimit=65, added=65, skippedByFileBookLimit=56, duplicates=77, digitalSkipped=0, missingTitle=0, missingAuthor=0, rejected=0, totalBooks=1690
[2026-06-09T05:40:41.996Z] scifi-spa-all.csv: genre=Science Fiction, rows=5, rowLimitHit=no, fileBookLimit=65, added=5, skippedByFileBookLimit=0, duplicates=0, digitalSkipped=0, missingTitle=0, missingAuthor=0, rejected=0, totalBooks=1695
